央视频道,#genre#
四川卫视,http://117.169.124.37:6610/ysten-businessmobile/live/sichuanstv/yst.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8$蓝光8M
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8$蓝光
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225739/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225804/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225803/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225886/index.m3u8
天津卫视,http://117.169.124.37:6610/ysten-businessmobile/live/tianjinstv/yst.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8$蓝光8M
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8$蓝光
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225816/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225815/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225867/index.m3u8
安徽卫视,http://117.169.124.37:6610/ysten-businessmobile/live/anhuistv/yst.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8$蓝光8M
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8$蓝光
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225738/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225802/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225801/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225873/index.m3u8
山东卫视,http://117.169.124.37:6610/ysten-businessmobile/live/shandongstv/yst.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8$蓝光
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225884/index.m3u8
